Timestamp,creative_data_id,"Is there a call to go online (e.g., shop online, visit the Web)? ","Is there online contact information provided (e.g., URL, website)? ","Is there a visual or verbal call to purchase (e.g., buy now, order now)?","Does the ad portray a sense of urgency to act (e.g., buy before sales end, order before it ends)? ","Is there an incentive to buy (e.g., a discount, a coupon, a sale, or 'limited time offer')? ","Is there offline contact information provided (e.g., phone, mail, store location)?",Is there mention of something free? ,"Does the ad mention at least one specific product or service (e.g., model, type, item)? ",Is there any verbal or visual mention of the price?,"Does the ad show the brand (logo, brand name) or trademark (something that most people know is the brand) multiple times?

For example, Nike ads often have the ""swoosh"" logo prominently displayed on shoes and apparel worn by celebrity athletes. The ""Just Do It"" slogan is another Nike trademark frequently included.",Does the ad show the brand or trademark exactly once at the end of the ad?,"Is the ad intended to affect the viewer emotionally, either with positive emotion (fun, joy), negative emotion (sad, anxious) or another type of emotion? (Note: You may not personally agree, but assess if that was the intention.)","If ""yes"" to the above, which of the following emotions is closest to the emotion that the ad was intending the viewer to feel? (Select all that apply.)","If yes to the above, did the ad successfully affect you emotionally, as intended?",Does the ad give you a positive feeling about the brand? ,"Does the ad have a story arc, with a beginning and an end? ","Does the ad have a reversal of fortune, where something changes for the better, or changes for the worse?",Does the ad have relatable characters? ,Is the ad creative/clever?,"Is the ad intended to be funny? (Note: You may not personally agree, but assess if that was the intention.)","If yes to the above, was the ad successfully funny, as intended?","Does this ad provide sensory stimulation (e.g., cool visuals, arousing music, mouth-watering)? ",Is the ad visually pleasing?,"Does the ad have cute elements like animals, babies, animated, characters, etc?",Was there a famous person in this ad? ,"If yes to the above, write the name of the famous person, if known.",What happened in this ad? (Answer in 2-3 sentences each),What was/were the company's goal(s) with this ad? Choose (potentially multiple) from:,How successful was the ad in achieving its goal(s)?,"How much did you like the ad? (1. Strongly dislike, 2. Dislike, 3. Neither Like or Dislike, 4. Like, 5. Strongly Like)","What was the slogan presented in the ad, if any?","After addressing the specific survey items, write a general description of the ad. You can use answers to the questions above to formulate your answer. Your description should include:
Brand and Product Identification: 
Specify the brand and whether a product is being advertised. (1 sentence)
Visual Elements: Describe what is seen on the screen, including setting, characters, and any text or graphics. (max 2 sentences)
Auditory Elements: Note what is heard, such as dialogue, voice-over, music, or sound effects. (max 2 sentences)
",Any additional feedback or things we should be aware of? ,Please enter the video identifier one more time (e.g. 123456789.mp4),creative_data_title,creative_data_description,creative_data_duration,creative_data_lifetime_spend_estimated,creative_data_lifetime_airings_count,creative_data_airing_date_first_et,creative_data_airing_date_last_et,speech,speech_normalized,video_file
5/16/2024 8:00:14,1471363,0,1,0,0,0,0,0,1,0,1,1,1,"Amusement, Desire",No,1,1,0,0,0,0,,1,0,0,No,,"During this ad we had a man and a woman taking time to venture out the city and explore the outdoors withe their mini countryman SUV. We saw new features of the car such as added trunk space, seamless bluetooth connectivity, and better mileage.","Change how consumers feel about the product/brand, Directly persuade consumers to purchase, Make consumers feel good about their purchase",3,3,,"Product Identification: Mini Countryman SUV
Mini Cooper was advertising their new Mini Countryman car
The setting is a rural but naturally beautiful place where we see the car go off-roading with the characters and their friends. The text was shown on screen and did all the advertising",I believe the text legibility should be improved on as it was not great,1471363.mp4,30s Add Stories [T1] - 1471363,"The new MINI Countryman is the largest yet, providing space for additions. These additions come in the form of connectivity, all-wheel drive and space for gear, leaving just enough room for a few more additions: friends and stories.",30,7863776.27,2788,2017-02-02T21:20:48-05:00,2018-07-09T08:50:58-04:00,"It's another pure gray morning. Don't know what the day is holding and I get up and walk right into the path of a, ok. The lightning.",it anoth pure gray morn dont know what the day is hold and i get up and walk right into the path of a ok the lightn,E:\Documents\Prof_Docs\DATA analysis test\Round 2 Docs\sample\sample\1471363.mp4
5/23/2024 2:35:55,1471363,0,1,0,0,0,0,0,1,0,1,0,0,,,1,0,0,1,0,0,,1,1,0,No,,"We watch Mini USA new Countryman driver around and accommodate all the needs of its users. It's a very simple, calming ad where we mainly watch the car drive around and people utilizing it. ",Directly persuade consumers to purchase,2,2, n/a,"Mini USA is advertising their new Countryman car. We get a lot of shots of the interior and exterior of the car as well as seeing it drive around. There's also text on the screen that says ""add __"" and whatever was in the blank space, the car could provide. There is no narrator or voice over just calming indie music. ",,1471363.mp4,30s Add Stories [T1] - 1471363,"The new MINI Countryman is the largest yet, providing space for additions. These additions come in the form of connectivity, all-wheel drive and space for gear, leaving just enough room for a few more additions: friends and stories.",30,7863776.27,2788,2017-02-02T21:20:48-05:00,2018-07-09T08:50:58-04:00,"It's another pure gray morning. Don't know what the day is holding and I get up and walk right into the path of a, ok. The lightning.",it anoth pure gray morn dont know what the day is hold and i get up and walk right into the path of a ok the lightn,E:\Documents\Prof_Docs\DATA analysis test\Round 2 Docs\sample\sample\1471363.mp4
5/15/2024 18:09:54,1488315,0,0,0,0,0,0,0,0,1,1,1,1,"Amusement, Joy",No,1,0,0,1,1,0,,1,0,0,No,,"The end of the world seems to have been brought upon the human race as meteors ran down on Earth. Inside a bar mass panic ensues, but only a man and a woman decide to share a dance as music plays in the background. The bartender pours up a glass of Jose Cuervo tequila and sings along to the song as the joyous event continues so does the destruction unfolding outside.","Increase awareness of product/brand, Make consumers feel good about their purchase",3,3,"Their usual slogan was not presented, but ""Tomorrow is overrated"" was shown at the end of the ad.","The brand being advertised is Jose Cuervo tequila, potentially the ""Especial"" line. In the ad the setting takes place in bar full of people that is quickly emptied out due to a recent meteor shower bombarding the Earth. This leaves a handful of people in the bar, but the focus is on two unnamed strangers who decide to dance to jukebox music. No text is shown until the end of the ad where it displays ""Tomorrow is overrated"" which correlates to the obvious world-ending theme of the ad. The only sounds that are heard throughout the ad is the music and the sound effects of the property exploding and being torn up.",,1488315.mp4,30s Last Days - 1488315,"What would you do if the end of the world was nigh? As the sky turns orange and meteors fall to the ground, a man walks up to the jukebox in a bar. He selects ""It's Now or Never"" by Elvis Presley and then turns around to dance with a woman. They dance like the world is not ending because, according to Jose Cuervo, ""Tomorrow is Overrated.""",30,20925675.98,3699,2017-03-05T06:37:33-05:00,2018-06-11T03:09:14-04:00,"The end of civilization is upon us. Hold your loved ones close. Right. Because, well, you know. Yes.",the end of civil is upon us hold your love one close right becaus well you know ye,E:\Documents\Prof_Docs\DATA analysis test\Round 2 Docs\sample\sample\1488315.mp4
5/16/2024 6:18:34,1488315,0,0,0,0,0,0,0,1,0,1,1,1,"Curiosity, Gratitude",Yes,1,1,1,0,1,0,,1,1,0,No,,"This ad is set in a bar in the middle of a desert, where a man and woman make eye contact as the voice of a news reporter plays, where he is saying that the end of civilization has come. The men and woman then start dancing around the bar as it is ripped apart by wind and comets coming from the sky. Everyone in the bar sings and dances as they drink shots of Cuervo, the brand that the ad is for.","Increase awareness of product/brand, Change how consumers feel about the product/brand",4,4,"Cuervo, ""Tomorrow is Overrated""","This ad is for the brand Jose Cuervo, advertising for its tequila product. This ad is centered around a man and woman, as they drink Cuervo and dance around a bar that is being destroyed by the end of the world. They continue dancing even as the top half of the bar is taken off by the wind and meteors hit the surface around them. The only dialogue in the ad comes from a news reporter's voice on the television, where he says that the end of civilization is upon us. Then, the man shuts off the TV and presses the jukebox to play ""It's Now or Never"" by Elvis Presley for the rest of the ad, which is accompanied by the sound effects of the bar being destroyed by the end of the world. ",,1488315.mp4,30s Last Days - 1488315,"What would you do if the end of the world was nigh? As the sky turns orange and meteors fall to the ground, a man walks up to the jukebox in a bar. He selects ""It's Now or Never"" by Elvis Presley and then turns around to dance with a woman. They dance like the world is not ending because, according to Jose Cuervo, ""Tomorrow is Overrated.""",30,20925675.98,3699,2017-03-05T06:37:33-05:00,2018-06-11T03:09:14-04:00,"The end of civilization is upon us. Hold your loved ones close. Right. Because, well, you know. Yes.",the end of civil is upon us hold your love one close right becaus well you know ye,E:\Documents\Prof_Docs\DATA analysis test\Round 2 Docs\sample\sample\1488315.mp4
5/24/2024 10:00:26,1488315,0,0,0,0,0,0,0,1,0,1,1,1,Joy,,0,1,0,0,1,0,,1,0,0,No,,It started with a disaster occurring and the narrator telling listeners that the end of civilization has come and that they should hold their loved ones close. Two main characters were in a bar with loud music playing and they were singing and dancing in the midst of the earthquake.,Increase awareness of product/brand,4,3,Tomorrow is overrated,"The brand being advertised was Jose Cuervo tequila. There are multiple people singing, dancing and taking tequila shots as they are witnessing their last moments on earth because a very disruptive disaster is occurring. The setting is emotional and somewhat sad. The music is intimate. ",,1488315.mp4,30s Last Days - 1488315,"What would you do if the end of the world was nigh? As the sky turns orange and meteors fall to the ground, a man walks up to the jukebox in a bar. He selects ""It's Now or Never"" by Elvis Presley and then turns around to dance with a woman. They dance like the world is not ending because, according to Jose Cuervo, ""Tomorrow is Overrated.""",30,20925675.98,3699,2017-03-05T06:37:33-05:00,2018-06-11T03:09:14-04:00,"The end of civilization is upon us. Hold your loved ones close. Right. Because, well, you know. Yes.",the end of civil is upon us hold your love one close right becaus well you know ye,E:\Documents\Prof_Docs\DATA analysis test\Round 2 Docs\sample\sample\1488315.mp4
5/15/2024 19:09:32,1526213,0,1,0,0,1,1,0,1,1,1,0,1,"Amusement, Curiosity, Anxiety",No,1,0,0,0,1,0,,1,1,1,No,,"A man is driving an Audi A4 on an open road. While he is driving a deer darts out in front of him forcing the car to come to a stop. He continues to drive after, collecting himself as his heart rate was increasing and his arm hairs were raising.","Increase awareness of product/brand, Change what consumers know about the product/brand, Directly persuade consumers to purchase, Increase consumer loyalty to the product/brand, Make consumers feel good about their purchase",2,2,No,"The brand in the ad was Audi showcasing their new A4 model with its advanced sensory auto braking system. A man is driving an Audi A4 on an open road. While he is driving a deer darts out in front of him forcing the car to come to a stop. There is narration throughout the ad describing how fast the braking system of the car is. While the car is in motion, multiple sound effects go off like the car's engine, seatbelt, and brakes. ",,1526213.mp4,30s Instincts [T2] - 1526213,"As a man speeds down a country road in his Audi Q7, its pre-sense safety technology responds to a deer leaping suddenly in front of his car. Without missing a beat, the vehicle skids to a stop before the hair on the startled man's arms has time to rise. The Audi pre-sense is now available in the Audi A4.",30,426126.14,19,2017-05-17T19:01:07-04:00,2018-02-24T01:51:58-05:00,"Audi presens can help prepare for and in some cases help prevent collisions faster than well, you progress is amplifying your instincts. Audi Precent found in the Audi A four, get an exceptional offer at your local Audi dealer.",audi presen can help prepar for and in some case help prevent collis faster than well you progress is amplifi your instinct audi precent found in the audi a four get an except offer at your local audi dealer,E:\Documents\Prof_Docs\DATA analysis test\Round 2 Docs\sample\sample\1526213.mp4
5/18/2024 21:58:08,1526213,0,0,1,0,1,1,0,1,1,1,1,0,,,1,0,0,0,0,0,,1,1,0,No,,This ad features a man driving an Audi A4. He gets distracted for a second and a deer runs in front of the car. The Audi prepares for and helps prevent him from colliding with this deer by stopping the vehicle. ,"Increase awareness of product/brand, Change what consumers know about the product/brand, Directly persuade consumers to purchase",4,3,"""Progress is amplifying your instincts""","The brand is Audi and the product being advertised is the 2017 Audi A4 ultra Car. The ad is set on the road, with a young man driving as he is able to stop before hitting a deer that runs in front of his car, with the help of the safety features provided with the Audi A4 (seatbelt tightening and safety breaks). Then, the slogan ""Progress is amplifying your instincts"" is presented on the screen, followed by text showcasing a deal of $359/month on a 36-month lease. There is a voice-over throughout the ad,, describing what the product is, what it offers, and the deal provided at the end. Sound effects such as the brakes of the car and the car engine plays as well. ",,1526213.mp4,30s Instincts [T2] - 1526213,"As a man speeds down a country road in his Audi Q7, its pre-sense safety technology responds to a deer leaping suddenly in front of his car. Without missing a beat, the vehicle skids to a stop before the hair on the startled man's arms has time to rise. The Audi pre-sense is now available in the Audi A4.",30,426126.14,19,2017-05-17T19:01:07-04:00,2018-02-24T01:51:58-05:00,"Audi presens can help prepare for and in some cases help prevent collisions faster than well, you progress is amplifying your instincts. Audi Precent found in the Audi A four, get an exceptional offer at your local Audi dealer.",audi presen can help prepar for and in some case help prevent collis faster than well you progress is amplifi your instinct audi precent found in the audi a four get an except offer at your local audi dealer,E:\Documents\Prof_Docs\DATA analysis test\Round 2 Docs\sample\sample\1526213.mp4
5/24/2024 10:22:17,1526213,0,0,0,0,1,1,0,1,1,1,1,0,,,0,1,0,0,1,0,,1,0,0,No,,"A man was driving an Audi car and was speeding. He almost hit a deer on the road but because of the Audi features, he was able to stop before the deer was hit.","Increase awareness of product/brand, Directly persuade consumers to purchase, Make consumers feel good about their purchase",4,4,Progress is amplifying your instincts,"The brand was AUDI and the product was a feature for Audi cars which helps prepare for and prevent collisions. I see a man driving an Audi car at a high speed and he almost collides with a deer. The setting is day time on a one way road with bushes near by. The character is a middle aged white man. There is a slogan in the ad which says ""Progress is amplifying your instincts"". The narrator who is also a man has a very deep voice. He sounds very confident and knowledgeable about the product. He makes mention of the Audi A4 which is the specific car this feature is found in/ After the visuals, there is a screen with prices and details for anyone interested. The narrator describes the price as an ""exceptional offer"" . It is $359/month for a 36-month lease.",,1526213.mp4,30s Instincts [T2] - 1526213,"As a man speeds down a country road in his Audi Q7, its pre-sense safety technology responds to a deer leaping suddenly in front of his car. Without missing a beat, the vehicle skids to a stop before the hair on the startled man's arms has time to rise. The Audi pre-sense is now available in the Audi A4.",30,426126.14,19,2017-05-17T19:01:07-04:00,2018-02-24T01:51:58-05:00,"Audi presens can help prepare for and in some cases help prevent collisions faster than well, you progress is amplifying your instincts. Audi Precent found in the Audi A four, get an exceptional offer at your local Audi dealer.",audi presen can help prepar for and in some case help prevent collis faster than well you progress is amplifi your instinct audi precent found in the audi a four get an except offer at your local audi dealer,E:\Documents\Prof_Docs\DATA analysis test\Round 2 Docs\sample\sample\1526213.mp4
5/15/2024 22:02:23,1548815,0,0,0,0,0,0,0,0,0,1,1,1,"Amusement, Joy",Yes,1,1,0,1,1,0,,1,0,1,No,,The ad promotes the new odyssey Honda vehicle with having a feature called cabin watch and magic sliding seats. It shows the benefit of both features specifically the cabin watch which has camera viewing of the car rear. ,Directly persuade consumers to purchase,3,3,,"The new Honda Odessy cabinwatch model is ideal for families. The ad portrays children in the back seat fighting over a toy, paralleling it to monsters fighting with no regard for their surroundings. With the cabinwatch view, the driver or the parents in this case are able to see what's going on in the rear while still keeping on the road. There are auditory elements of cheerful music and then sudden monster-fighting noises with visuals of them tearing down a city. There is a voice-over explaining the features of the car.",no,1548815 MP4,30s Keep the Peace [T1] - 1548815,"On an otherwise peaceful day, two giant monsters made of stone tear through the city with no regard for their surroundings. They wreak havoc and smash buildings as they fight over a bus, unwilling to share. It turns out these beasts are actually two young siblings fighting over a toy in their car. Thankfully, the Honda Odyssey gives parents a lot of ways to keep the peace with available smart features like Magic Slide Seats and CabinWatch.",30,1527188.86,313,2017-06-19T07:11:59-04:00,2019-01-06T22:17:44-05:00,"The new Honda Odyssey has tons of available smart features like cabin you guys doing, but lets parents chat with the rest of the family and cabin watch, which makes it easier to keep an eye on your kids. Hey, give me that thing and it's available with magic slide seats. Just a few of the many ways to keep the peace and the all new Honda Odyssey.",the new honda odyssey ha ton of avail smart featur like cabin you guy do but let parent chat with the rest of the famili and cabin watch which make it easier to keep an eye on your kid hey give me that thing and it avail with magic slide seat just a few of the mani way to keep the peac and the all new honda odyssey,E:\Documents\Prof_Docs\DATA analysis test\Round 2 Docs\sample\sample\1548815.mp4
5/16/2024 8:22:12,1548815,0,0,0,0,0,0,0,1,0,1,1,1,"Amusement, Joy, Surprise",Yes,1,1,0,1,1,1,Yes,0,1,1,No,,"During this ad a family was driving when suddenly their kids started to fight over a toy. The car's new features, such as the seat separation, allowed for the mother to easily resolve conflict. ","Increase awareness of product/brand, Directly persuade consumers to purchase, Increase consumer loyalty to the product/brand, Make consumers feel good about their purchase",4,5,no,"Product: Honda Odessey SUV.

Visual Elements: A family is driving their car through a suburb while enjoying all the ew features of the car. The conflict between the kids is exaggerated through the use of CGI animation of monsters fighting eachother. 

Auditory Elements: Narration Dialogue, Dialogue between the characters, music, and sound effects during the showcasing of new features and the animation.",no,1548815.mp4,30s Keep the Peace [T1] - 1548815,"On an otherwise peaceful day, two giant monsters made of stone tear through the city with no regard for their surroundings. They wreak havoc and smash buildings as they fight over a bus, unwilling to share. It turns out these beasts are actually two young siblings fighting over a toy in their car. Thankfully, the Honda Odyssey gives parents a lot of ways to keep the peace with available smart features like Magic Slide Seats and CabinWatch.",30,1527188.86,313,2017-06-19T07:11:59-04:00,2019-01-06T22:17:44-05:00,"The new Honda Odyssey has tons of available smart features like cabin you guys doing, but lets parents chat with the rest of the family and cabin watch, which makes it easier to keep an eye on your kids. Hey, give me that thing and it's available with magic slide seats. Just a few of the many ways to keep the peace and the all new Honda Odyssey.",the new honda odyssey ha ton of avail smart featur like cabin you guy do but let parent chat with the rest of the famili and cabin watch which make it easier to keep an eye on your kid hey give me that thing and it avail with magic slide seat just a few of the mani way to keep the peac and the all new honda odyssey,E:\Documents\Prof_Docs\DATA analysis test\Round 2 Docs\sample\sample\1548815.mp4
